Curriculum;Training Title;Initial Due (derived in)
Quality level 2;Local PV activities in Nordic countries;30
Quality level 2;Local Quality Risk Management;30
Quality level 2;Local Quality Risk Management;30
Quality level 2;Local Receipt of goods;30
Quality level 2;Maintenance of product information;30
Quality level 2;Management of Price Modifications;30
Quality level 2;Management of Tenders;30
Quality level 2;Nordic Regulatory Intelligence;30
Quality level 2;NSP073128-EN00v.1 Product Quality Complaints Receiving and Triaging;30
Quality level 2;Reconciliation of Relevant Safety Information with all Sources;30
Quality level 2;Routines for 24 hour contact;30
Quality level 2;Self inspection;30
Quality level 2;Third Party Contractor Management (GxP-relevant Services);30
NRDK-Quality Consultant;Communication of Actions and Status in Nordic QMS;30
NRDK-Quality Consultant;Contact list;30
NRDK-Quality Consultant;Handling of technical samples - Nordic;30
NRDK-Quality Consultant;Local CAPA Management;30
NRDK-Quality Consultant;Local Change Management - Nordic;30
NRDK-Quality Consultant;Local Deviation Management;30
NRDK-Quality Consultant;Local GxP Management Review Nordic;30
NRDK-Quality Consultant;Local management of issues, counterfeits and recalls/field actions - Nordic;30
NRDK-Quality Consultant;Local Management of Product Quality Complaints, Nordic;30
NRDK-Quality Consultant;Local Procedural Document Management – Nordic Countries;30
NRDK-Quality Consultant;Local Product Supply and Disitribution;30
NRDK-Quality Consultant;Local Quality Manual - Nordic;30
NRDK-Quality Consultant;Local Quality Risk Management;30
NRDK-Quality Consultant;Local Quality Risk Management;30
NRDK-Quality Consultant;Local Receipt of goods;30
NRDK-Quality Consultant;NSP073128-EN00v.1 Product Quality Complaints Receiving and Triaging;30
NRDK-Quality Consultant;Policy of quality system;30
NRDK-Quality Consultant;QM-CMRS LMS Key User and Power User Guide;30
NRDK-Quality Consultant;Routines for 24 hour contact;30
NRDK-Quality Consultant;Self inspection;30
NRDK-Quality Consultant;Third Party Contractor Management (GxP-relevant Services);30
NRDK-RA consultant;CMRS LMS User, Primary Manager, and Department Head Guide;90
NRDK-RA consultant;DS Hub - RtSI transmission form Guide_Nordics;30
NRDK-RA consultant;DS Hub - RtSI transmission form_Nordics;30
NRDK-RA consultant;Environment Policy;30
NRDK-RA consultant;Nordic Product List;90
Regulatory;Maintenance of product information;30
Safety;Local Management of DHPC and Educational Material;30
Safety;Local PV activities in Nordic countries;30
NRDK Sales;Approval of medical and scientific marketing material;30
NRDK Sales;Consultancy Agreements with Healthcare Professionals;30
Sales Manager;Management of Price Modifications;30
Sales Manager;Management of Tenders;30
NRDK-Special Programs;"Special Programs and Non-Interventional Studies Pharmacovigilance/ Safety Reporting; Vendor/CRO Training";30
