User ID;User Group
beqbali;NRDK-Market Research
beqbali;NRDK-Marketing
beqbali;NRDK-Sales ID Gastro
beqbali;NRDK-Transparency
beqbali;PromoMats internal Users
beqbali;Vifor Pharma_All LMS User
beqbali;VP all
jhedendahl;ALL-GxP Quality Policy
jhedendahl;NRDK-All Nordic
jhedendahl;NRDK-Employees
jhedendahl;NRDK-Market Research
jhedendahl;NRDK-Marketing
jhedendahl;NRDK-Transparency
jhedendahl;PromoMats internal Users
jhedendahl;Vifor Pharma_All LMS User
jhedendahl;VP all
njensen;ALL-GxP Quality Policy
njensen;NRDK-All Nordic
njensen;NRDK-Employees
njensen;NRDK-Maltofer
njensen;NRDK-Medical
njensen;NRDK-Transparency
njensen;PromoMats internal Users
njensen;QM CMRS - GMA Research Solution Users
njensen;Vifor Pharma_All LMS User
njensen;VP all
elarsson;ALL-GxP Quality Policy
elarsson;NRDK-All Nordic
elarsson;NRDK-Non-employees
elarsson;NRDK-Transparency
elarsson;Vifor Pharma_All LMS User
elarsson;VP all
elarsson;VP- Externals 1
llohm;ALL-GxP Quality Policy
llohm;NRDK-All Nordic
llohm;NRDK-Employees
llohm;NRDK-LG and RP/PV
llohm;NRDK-Maltofer
llohm;NRDK-Medical
llohm;NRDK-Quality
llohm;NRDK-Transparency
llohm;QM CMRS - GMA Research Solution Users
llohm;Vifor Pharma_All LMS User
llohm;VP all
aoeberg;ALL-GxP Quality Policy
aoeberg;NRDK-All Nordic
aoeberg;NRDK-Employees
aoeberg;NRDK-Maltofer
aoeberg;NRDK-Market Research
aoeberg;NRDK-Marketing
aoeberg;NRDK-Transparency
aoeberg;PromoMats internal Users
aoeberg;Vifor Pharma_All LMS User
aoeberg;VP all
mradstrom;ALL-GxP Quality Policy
mradstrom;NRDK-All Nordic
mradstrom;NRDK-Employees
mradstrom;NRDK-Market Research
mradstrom;NRDK-Marketing
mradstrom;NRDK-Nephro
mradstrom;NRDK-Transparency
mradstrom;PromoMats internal Users
mradstrom;Vifor Pharma_All LMS User
mradstrom;VP all
lryden;ALL-GxP Quality Policy
lryden;NRDK-All Nordic
lryden;NRDK-Employees
lryden;NRDK-Maltofer
lryden;NRDK-Market Research
lryden;NRDK-Marketing
lryden;NRDK-Transparency
lryden;PromoMats internal Users
lryden;Vifor Pharma_All LMS User
lryden;VP all
ythomson;ALL-GxP Quality Policy
ythomson;Line Manager internal
ythomson;NRDK-All Nordic
ythomson;NRDK-Employees
ythomson;NRDK-LG and RP/PV
ythomson;NRDK-Market Access
ythomson;NRDK-Market Research
ythomson;NRDK-Transparency
ythomson;Vifor Pharma_All LMS User
ythomson;VP all
byemane;ALL-GxP Quality Policy
byemane;NRDK-All Nordic
byemane;NRDK-Employees
byemane;NRDK-Marketing
byemane;NRDK-Transparency
byemane;Vifor Pharma_All LMS User
byemane;VP all
